Happiness Rank,Happiness Score,Country,Region,Upper Confidence Interval,Lower Confidence Interval,Freedom,Generosity,Trust (Government Corruption),Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Dystopia Residual,Year,Standard Error
1,7.808700085,Finland,Western Europe,7.869766235,7.747633934,0.949172199,-0.059482019,0.195444584,1.285189509,1.499525905,0.961271405,2.762835026,2020,0.031156305
2,7.645599842,Denmark,Western Europe,7.711244583,7.579955101,0.951444268,0.066201776,0.168489456,1.326948524,1.503449202,0.979332566,2.432740688,2020,0.033492286
3,7.559899807,Switzerland,Western Europe,7.628527641,7.491271973,0.921336651,0.105911039,0.303728431,1.39077425,1.472403407,1.040533185,2.35026741,2020,0.035014171
4,7.504499912,Iceland,Western Europe,7.621346951,7.387652874,0.948891878,0.246944219,0.711709738,1.326501608,1.547567487,1.000843406,2.460688114,2020,0.059615862
5,7.487999916,Norway,Western Europe,7.55628109,7.419718742,0.955750287,0.13453263,0.263218194,1.42420733,1.495172501,1.008071899,2.168266296,2020,0.034837384
6,7.448900223,Netherlands,Western Europe,7.503372192,7.394428253,0.908547819,0.20761244,0.364717126,1.338946342,1.463645935,0.975675344,2.352117062,2020,0.02779175
7,7.353499889,Sweden,Western Europe,7.424519062,7.282480717,0.939144194,0.111614622,0.250880182,1.322235227,1.433347702,0.986470461,2.246299267,2020,0.036234196
8,7.299600124,New Zealand,North America and ANZ,7.376952648,7.222247601,0.936217487,0.191598073,0.22113885,1.242317915,1.48721838,1.008138299,2.128108025,2020,0.039465468
9,7.294199944,Austria,Western Europe,7.359595776,7.228804111,0.899989486,0.085429221,0.499954879,1.317285538,1.437444925,1.000933528,2.398446083,2020,0.033365164
10,7.237500191,Luxembourg,Western Europe,7.297969818,7.177030563,0.90563643,-0.004620588,0.367084295,1.536676049,1.387528419,0.986442685,2.153700352,2020,0.030851794
11,7.23210001,Canada,North America and ANZ,7.311294556,7.152905464,0.933913231,0.124770768,0.390843362,1.301647663,1.435391903,1.022501945,2.195269108,2020,0.04040546
12,7.222799778,Australia,North America and ANZ,7.30480814,7.140791416,0.915431738,0.19046016,0.41516912,1.310396433,1.477146268,1.022607684,2.129804134,2020,0.041841116
13,7.164500237,United Kingdom,Western Europe,7.237337589,7.091662884,0.834743679,0.263732493,0.435915917,1.273061037,1.457844973,0.97570008,2.236721992,2020,0.037161909
