Happiness Rank,Happiness Score,Country,Region,Upper Confidence Interval,Lower Confidence Interval,Generosity,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,Year,Standard Error
1,7.842,Finland,Western Europe,7.904,7.78,-0.098,1.446,1.106,0.741,0.691,0.481,3.253,2021,0.032
2,7.620,Denmark,Western Europe,7.687,7.552,0.03,1.502,1.108,0.763,0.686,0.485,2.868,2021,0.035
3,7.571,Switzerland,Western Europe,7.643,7.5,0.025,1.566,1.079,0.816,0.653,0.413,2.839,2021,0.036
4,7.554,Iceland,Western Europe,7.67,7.438,0.16,1.482,1.172,0.772,0.698,0.17,2.967,2021,0.059
5,7.464,Netherlands,Western Europe,7.518,7.41,0.175,1.501,1.079,0.753,0.647,0.384,2.798,2021,0.027
6,7.392,Norway,Western Europe,7.462,7.323,0.093,1.543,1.108,0.782,0.703,0.427,2.58,2021,0.035
7,7.363,Sweden,Western Europe,7.433,7.293,0.086,1.478,1.062,0.763,0.685,0.448,2.683,2021,0.036
8,7.324,Luxembourg,Western Europe,7.396,7.252,-0.034,1.751,1.003,0.76,0.639,0.353,2.653,2021,0.037
9,7.277,New Zealand,North America and ANZ,7.355,7.198,0.134,1.4,1.094,0.785,0.665,0.445,2.612,2021,0.04
10,7.268,Austria,Western Europe,7.337,7.198,0.042,1.492,1.062,0.782,0.64,0.292,2.784,2021,0.036
11,7.183,Australia,North America and ANZ,7.265,7.102,0.159,1.453,1.076,0.801,0.647,0.317,2.598,2021,0.041
12,7.157,Israel,Middle East and North Africa,7.224,7.09,0.031,1.376,1.074,0.788,0.509,0.119,3.083,2021,0.034
13,7.155,Germany,Western Europe,7.232,7.077,0.011,1.48,0.993,0.757,0.6,0.306,2.824,2021,0.04
14,7.103,Canada,North America and ANZ,7.185,7.021,0.089,1.447,1.044,0.798,0.648,0.335,2.585,2021,0.042
15,7.085,Ireland,Western Europe,7.164,7.006,0.077,1.644,1.092,0.753,0.606,0.367,2.384,2021,0.04
16,7.069,Costa Rica,Latin America and Caribbean,7.179,6.96,-0.126,1.134,0.966,0.722,0.673,0.083,3.387,2021,0.056
17,7.064,United Kingdom,Western Europe,7.138,6.99,0.233,1.423,1.062,0.757,0.58,0.306,2.596,2021,0.038
18,6.965,Czech Republic,Central and Eastern Europe,7.062,6.868,-0.208,1.37,1.09,0.703,0.58,0.046,3.124,2021,0.049
19,6.951,United States,North America and ANZ,7.047,6.856,0.098,1.533,1.03,0.621,0.554,0.154,2.807,2021,0.049
20,6.834,Belgium,Western Europe,6.901,6.767,-0.153,1.463,0.998,0.747,0.489,0.187,2.862,2021,0.034
21,6.690,France,Western Europe,6.762,6.618,-0.147,1.421,1.081,0.804,0.536,0.235,2.521,2021,0.037
22,6.647,Bahrain,Middle East and North Africa,6.779,6.514,0.089,1.409,0.899,0.662,0.661,0.139,2.631,2021,0.068
23,6.602,Malta,Western Europe,6.688,6.516,0.133,1.411,1.055,0.747,0.664,0.183,2.268,2021,0.044
24,6.584,Taiwan Province of China,East Asia,6.659,6.51,-0.07,1.48,0.982,0.665,0.49,0.139,2.687,2021,0.038
25,6.561,United Arab Emirates,Middle East and North Africa,6.637,6.484,0.074,1.555,0.86,0.594,0.67,0.223,2.422,2021,0.039
26,6.494,Saudi Arabia,Middle East and North Africa,6.604,6.384,-0.149,1.435,0.964,0.571,0.603,0.163,2.668,2021,0.056
27,6.491,Spain,Western Europe,6.574,6.408,-0.081,1.375,1.057,0.826,0.462,0.124,2.513,2021,0.042
28,6.483,Italy,Western Europe,6.572,6.395,-0.084,1.393,0.94,0.798,0.379,0.047,2.794,2021,0.045
29,6.461,Slovenia,Central and Eastern Europe,6.546,6.376,-0.101,1.36,1.093,0.722,0.69,0.085,2.388,2021,0.043
30,6.435,Guatemala,Latin America and Caribbean,6.577,6.292,-0.038,0.845,0.79,0.519,0.638,0.105,3.375,2021,0.073
31,6.431,Uruguay,Latin America and Caribbean,6.521,6.341,-0.092,1.164,1.042,0.649,0.625,0.223,2.6,2021,0.046
32,6.377,Singapore,Southeast Asia,6.46,6.293,-0.018,1.695,1.019,0.897,0.664,0.547,1.379,2021,0.043
33,6.372,Kosovo,Central and Eastern Europe,6.487,6.257,0.257,0.937,0.807,0.483,0.593,0.014,3.182,2021,0.059
34,6.331,Slovakia,Central and Eastern Europe,6.411,6.251,-0.124,1.304,1.066,0.653,0.468,0.018,2.714,2021,0.041
35,6.330,Brazil,Latin America and Caribbean,6.415,6.245,-0.071,1.028,0.944,0.571,0.514,0.117,3.015,2021,0.043
36,6.317,Mexico,Latin America and Caribbean,6.42,6.213,-0.147,1.126,0.83,0.634,0.585,0.089,2.961,2021,0.053
37,6.309,Jamaica,Latin America and Caribbean,6.615,6.004,-0.137,0.891,0.932,0.599,0.618,0.035,3.135,2021,0.156
38,6.255,Lithuania,Central and Eastern Europe,6.344,6.167,-0.203,1.35,1.065,0.612,0.476,0.073,2.624,2021,0.045
39,6.223,Cyprus,Western Europe,6.319,6.128,-0.015,1.377,0.765,0.801,0.464,0.061,2.578,2021,0.049
40,6.189,Estonia,Central and Eastern Europe,6.263,6.115,-0.106,1.344,1.079,0.64,0.641,0.263,2.103,2021,0.038
41,6.180,Panama,Latin America and Caribbean,6.323,6.036,-0.166,1.298,0.976,0.667,0.596,0.053,2.509,2021,0.073
42,6.179,Uzbekistan,Commonwealth of Independent States,6.312,6.045,0.311,0.769,1.027,0.528,0.716,0.271,2.477,2021,0.068
43,6.172,Chile,Latin America and Caribbean,6.262,6.081,-0.044,1.2,0.946,0.678,0.438,0.07,2.682,2021,0.046
44,6.166,Poland,Central and Eastern Europe,6.245,6.087,-0.165,1.309,0.982,0.668,0.558,0.13,2.438,2021,0.04
45,6.152,Kazakhstan,Commonwealth of Independent States,6.243,6.06,-0.069,1.23,1.103,0.527,0.573,0.132,2.446,2021,0.047
46,6.140,Romania,Central and Eastern Europe,6.253,6.027,-0.219,1.275,0.832,0.595,0.564,0.001,2.83,2021,0.057
47,6.106,Kuwait,Middle East and North Africa,6.235,5.977,-0.104,1.461,0.857,0.58,0.591,0.13,2.368,2021,0.066
48,6.078,Serbia,Central and Eastern Europe,6.181,5.974,0.002,1.101,0.924,0.634,0.482,0.066,2.682,2021,0.053
49,6.061,El Salvador,Latin America and Caribbean,6.188,5.933,-0.11,0.845,0.675,0.565,0.615,0.16,3.085,2021,0.065
50,6.049,Mauritius,Sub-Saharan Africa,6.165,5.933,-0.054,1.178,0.996,0.574,0.59,0.096,2.462,2021,0.059
51,6.032,Latvia,Central and Eastern Europe,6.103,5.961,-0.162,1.285,1.047,0.587,0.405,0.089,2.536,2021,0.036
52,6.012,Colombia,Latin America and Caribbean,6.132,5.892,-0.135,1.021,0.866,0.615,0.554,0.063,2.794,2021,0.061
53,5.992,Hungary,Central and Eastern Europe,6.085,5.899,-0.186,1.301,1.083,0.615,0.454,0.04,2.432,2021,0.047
54,5.985,Thailand,Southeast Asia,6.077,5.893,0.287,1.107,0.957,0.596,0.611,0.028,2.309,2021,0.047
55,5.972,Nicaragua,Latin America and Caribbean,6.134,5.81,0.02,0.693,0.904,0.604,0.553,0.176,2.841,2021,0.083
56,5.940,Japan,East Asia,6.02,5.861,-0.258,1.389,0.949,0.838,0.504,0.192,2.048,2021,0.04
57,5.929,Argentina,Latin America and Caribbean,6.04,5.819,-0.182,1.162,0.98,0.646,0.544,0.067,2.461,2021,0.056
58,5.929,Portugal,Western Europe,6.037,5.821,-0.244,1.323,0.939,0.76,0.621,0.033,2.225,2021,0.055
59,5.919,Honduras,Latin America and Caribbean,6.081,5.758,0.081,0.703,0.787,0.593,0.578,0.083,2.934,2021,0.082
60,5.882,Croatia,Central and Eastern Europe,5.975,5.788,-0.118,1.251,1.039,0.703,0.453,0,2.325,2021,0.048
61,5.880,Philippines,Southeast Asia,5.982,5.778,-0.097,0.853,0.828,0.426,0.651,0.126,2.872,2021,0.052
62,5.845,South Korea,East Asia,5.928,5.763,-0.083,1.403,0.758,0.801,0.353,0.135,2.262,2021,0.042
63,5.840,Peru,Latin America and Caribbean,5.988,5.692,-0.154,0.986,0.833,0.623,0.536,0.031,2.744,2021,0.075
64,5.813,Bosnia and Herzegovina,Central and Eastern Europe,5.911,5.715,0.113,1.032,0.919,0.618,0.395,0.005,2.583,2021,0.05
65,5.766,Moldova,Commonwealth of Independent States,5.856,5.677,-0.079,0.985,0.888,0.542,0.536,0.013,2.665,2021,0.046
66,5.764,Ecuador,Latin America and Caribbean,5.875,5.653,-0.124,0.935,0.806,0.64,0.56,0.062,2.653,2021,0.057
67,5.744,Kyrgyzstan,Commonwealth of Independent States,5.834,5.653,0.119,0.665,0.971,0.501,0.673,0.02,2.648,2021,0.046
68,5.723,Greece,Western Europe,5.813,5.632,-0.288,1.273,0.811,0.76,0.243,0.074,2.561,2021,0.046
69,5.716,Bolivia,Latin America and Caribbean,5.819,5.613,-0.077,0.842,0.782,0.486,0.6,0.064,2.805,2021,0.053
70,5.677,Mongolia,East Asia,5.76,5.595,0.116,0.966,1.065,0.442,0.397,0.053,2.492,2021,0.042
71,5.653,Paraguay,Latin America and Caribbean,5.832,5.473,0.028,0.983,0.97,0.549,0.602,0.037,2.306,2021,0.092
72,5.581,Montenegro,Central and Eastern Europe,5.686,5.475,-0.034,1.155,0.891,0.637,0.397,0.081,2.254,2021,0.054
73,5.545,Dominican Republic,Latin America and Caribbean,5.685,5.405,-0.133,1.106,0.879,0.555,0.581,0.144,2.178,2021,0.071
