Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Region,Year,Dystopia Residual,Upper Confidence Interval,Lower Confidence Interval,Standard Error
1,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,Western Europe,2018,2.595,7.695,7.569,0.032142857
2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,Western Europe,2018,2.383,7.657,7.53,0.032397959
3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,Western Europe,2018,2.37,7.623,7.487,0.034693878
4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,Western Europe,2018,2.426,7.593,7.398,0.049744898
5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,Western Europe,2018,2.32,7.57,7.405,0.042091837
6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,Western Europe,2018,2.448,7.498,7.384,0.029081633
7,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,North America,2018,2.306,7.421,7.236,0.047193878
8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,Australia and New Zealand,2018,2.156,7.401,7.247,0.039285714
9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,Western Europe,2018,2.217,7.388,7.241,0.0375
10,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,Australia and New Zealand,2018,2.139,7.358,7.186,0.043877551
11,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,Western Europe,2018,1.912,6.887,6.741,0.037244898
12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,Western Europe,2018,2.319,7.209,7.069,0.035714286
13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,Latin America and Caribbean,2018,2.911,7.16,6.983,0.045153061
14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,Western Europe,2018,1.844,7.055,6.9,0.039540816
15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,Western Europe,2018,2.151,7.024,6.905,0.030357143
16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,Western Europe,2018,2.215,6.995,6.859,0.034693878
17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,Western Europe,2018,1.769,6.975,6.844,0.033418367
18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,North America,2018,2.227,6.974,6.798,0.044897959
19,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,Middle East and Northern Africa,2018,2.817,7.257,7.123,0.034183673
20,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,0.112,Middle East and Northern Africa,2018,2.096,6.844,6.704,0.035714286
21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,Central and Eastern Europe,2018,2.494,6.783,6.639,0.036734694
