Rank,Economy (GDP per Capita),Health (Life Expectancy),Trust (Government Corruption),Happiness Score,Country,Happiness Rank,Freedom,Generosity,Family (Social Support),Year,Region
0,1,0.94143,0.41978,7.587,Switzerland,1,0.66557,0.29678,1,2015,Western Europe
1,1,0.94784,0.14145,7.561,Iceland,2,0.62877,0.4363,1,2015,Western Europe
2,1,0.87464,0.48357,7.527,Denmark,3,0.64938,0.34139,1,2015,Western Europe
3,1,0.88521,0.36503,7.522,Norway,4,0.66973,0.34699,1,2015,Western Europe
4,1,0.90563,0.32957,7.427,Canada,5,0.63297,0.45811,1,2015,North America
5,1,0.88911,0.41372,7.406,Finland,6,0.64169,0.23351,1,2015,Western Europe
6,1,0.89284,0.31814,7.378,Netherlands,7,0.61576,0.4761,1,2015,Western Europe
7,1,0.91087,0.43844,7.364,Sweden,8,0.6598,0.36262,1,2015,Western Europe
8,1,0.90837,0.42922,7.286,New Zealand,9,0.63938,0.47501,1,2015,Australia and New Zealand
9,1,0.93156,0.35637,7.284,Australia,10,0.65124,0.43562,1,2015,Australia and New Zealand
10,1,0.91387,0.07785,7.278,Israel,11,0.41319,0.33172,1,2015,Middle East and Northern Africa
11,1,0.86027,0.10583,7.226,Costa Rica,12,0.63376,0.25497,1,2015,Latin America and Caribbean
12,1,0.89042,0.18676,7.2,Austria,13,0.62433,0.33088,1,2015,Western Europe
13,1,0.81444,0.21312,7.187,Mexico,14,0.48181,0.14074,1,2015,Latin America and Caribbean
14,1,0.86179,0.1589,7.119,United States,15,0.54604,0.40105,1,2015,North America
15,1,0.69702,0.17521,6.983,Brazil,16,0.49049,0.14574,1,2015,Latin America and Caribbean
16,2,0.91894,0.37798,6.946,Luxembourg,17,0.61583,0.28034,1,2015,Western Europe
17,1,0.89533,0.28703,6.94,Ireland,18,0.61777,0.45901,1,2015,Western Europe
18,1,0.89667,0.2254,6.937,Belgium,19,0.5845,0.2225,1,2015,Western Europe
19,1,0.80925,0.38583,6.901,United Arab Emirates,20,0.64157,0.26428,1,2015,Middle East and Northern Africa
20,1,0.90943,0.32067,6.867,United Kingdom,21,0.59625,0.51912,1,2015,Western Europe
21,1,0.76276,0.32524,6.853,Oman,22,0.63274,0.21542,1,2015,Middle East and Northern Africa
22,1,0.72052,0.11069,6.81,Venezuela,23,0.42908,0.05841,1,2015,Latin America and Caribbean
23,2,1.02525,0.4921,6.798,Singapore,24,0.54252,0.31105,1,2015,Southeastern Asia
24,1,0.79661,0.0927,6.786,Panama,25,0.5421,0.24434,1,2015,Latin America and Caribbean
25,1,0.89186,0.21843,6.75,Germany,26,0.61477,0.28214,1,2015,Western Europe
26,1,0.85857,0.12869,6.67,Chile,27,0.44132,0.33363,1,2015,Latin America and Caribbean
27,2,0.79733,0.52208,6.611,Qatar,28,0.6404,0.32573,1,2015,Middle East and Northern Africa
28,1,0.94579,0.20646,6.575,France,29,0.55011,0.12332,1,2015,Western Europe
29,1,0.78723,0.08484,6.574,Argentina,30,0.44974,0.11451,1,2015,Latin America and Caribbean
30,1,0.84483,0.02652,6.505,Czech Republic,31,0.46364,0.10686,1,2015,Central and Eastern Europe
31,1,0.8116,0.24558,6.485,Uruguay,32,0.60362,0.2324,1,2015,Latin America and Caribbean
32,1,0.69077,0.0512,6.477,Colombia,33,0.53466,0.18401,1,2015,Latin America and Caribbean
33,1,0.7385,0.03187,6.455,Thailand,34,0.55664,0.5763,1,2015,Southeastern Asia
34,1,0.72025,0.32524,6.411,Saudi Arabia,35,0.31048,0.13706,1,2015,Middle East and Northern Africa
35,1,0.95562,0.06398,6.329,Spain,36,0.45951,0.18227,1,2015,Western Europe
36,1,0.88721,0.13586,6.302,Malta,37,0.60365,0.51752,1,2015,Western Europe
37,1,0.8753,0.08129,6.298,Taiwan,38,0.3974,0.25376,1,2015,Eastern Asia
38,2,0.72492,0.25609,6.295,Kuwait,39,0.55499,0.16228,1,2015,Middle East and Northern Africa
39,1,0.6082,0.13633,6.269,Suriname,40,0.59657,0.16991,1,2015,Latin America and Caribbean
40,1,0.61483,0.0114,6.168,Trinidad and Tobago,41,0.55884,0.31844,1,2015,Latin America and Caribbean
41,1,0.67737,0.11776,6.13,El Salvador,42,0.4035,0.10692,1,2015,Latin America and Caribbean
42,1,0.64425,0.09472,6.123,Guatemala,43,0.57733,0.27489,1,2015,Latin America and Caribbean
43,1,0.59772,0.30826,6.003,Uzbekistan,44,0.65821,0.22837,1,2015,Central and Eastern Europe
44,1,0.78902,0.03431,5.995,Slovakia,45,0.31751,0.16893,1,2015,Central and Eastern Europe
45,1,0.99111,0.1806,5.987,Japan,46,0.49615,0.10705,1,2015,Eastern Asia
46,1,0.96538,0.07857,5.984,South Korea,47,0.33208,0.18557,1,2015,Eastern Asia
47,1,0.79075,0.1809,5.975,Ecuador,48,0.48574,0.11541,1,2015,Latin America and Caribbean
48,1,0.74716,0.306,5.96,Bahrain,49,0.45492,0.17362,1,2015,Middle East and Northern Africa
49,1,0.95446,0.02901,5.948,Italy,50,0.26236,0.22823,1,2015,Western Europe
50,1,0.5392,0.088,5.89,Bolivia,51,0.57414,0.20536,1,2015,Latin America and Caribbean
51,1,0.61826,0.01615,5.889,Moldova,52,0.32818,0.20951,1,2015,Central and Eastern Europe
52,1,0.66098,0.08242,5.878,Paraguay,53,0.53899,0.3424,1,2015,Latin America and Caribbean
53,1,0.64368,0.08454,5.855,Kazakhstan,54,0.51649,0.11827,1,2015,Central and Eastern Europe
54,1,0.87337,0.03787,5.848,Slovenia,55,0.60855,0.25328,1,2015,Central and Eastern Europe
55,1,0.73128,0.01031,5.833,Lithuania,56,0.21342,0.02641,1,2015,Central and Eastern Europe
56,1,0.74314,0.19317,5.828,Nicaragua,57,0.55475,0.27815,1,2015,Latin America and Caribbean
57,1,0.73017,0.05989,5.824,Peru,58,0.41496,0.14982,1,2015,Latin America and Caribbean
58,1,0.73608,0.1909,5.813,Belarus,59,0.37938,0.11046,1,2015,Central and Eastern Europe
59,1,0.77903,0.04212,5.791,Poland,60,0.53122,0.16759,1,2015,Central and Eastern Europe
60,1,0.72394,0.10501,5.77,Malaysia,61,0.53024,0.33075,1,2015,Southeastern Asia
61,1,0.78805,0.0243,5.759,Croatia,62,0.25883,0.05444,1,2015,Central and Eastern Europe
62,1,0.7038,0.11023,5.754,Libya,63,0.41668,0.18295,1,2015,Middle East and Northern Africa
63,1,0.66926,0.03005,5.716,Russia,64,0.36679,0.00199,1,2015,Central and Eastern Europe
64,1,0.68741,0.02299,5.709,Jamaica,65,0.50442,0.2123,1,2015,Latin America and Caribbean
