Year,Happiness Rank,Happiness Score,Region,Country,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Health (Life Expectancy),Family (Social Support),Trust (Government Corruption),Freedom,Generosity
2019,1,7.769,Western Europe,Finland,0.031122448979591807,7.83,7.708,2.714,1.34,0.986,1.587,0.393,0.596,0.153
2019,2,7.6,Western Europe,Denmark,0.03392857142857143,7.667,7.534,2.393,1.383,0.996,1.573,0.41,0.592,0.252
2019,3,7.554,Western Europe,Norway,0.031632653061224404,7.616,7.492,2.241,1.488,1.028,1.582,0.341,0.603,0.271
2019,4,7.494,Western Europe,Iceland,0.06096938775510224,7.613,7.374,2.401,1.38,1.026,1.624,0.118,0.591,0.354
2019,5,7.488,Western Europe,Netherlands,0.02780612244897959,7.542,7.433,2.393,1.396,0.999,1.522,0.298,0.557,0.322
2019,6,7.48,Western Europe,Switzerland,0.03698979591836724,7.553,7.408,2.272,1.452,1.052,1.526,0.343,0.572,0.263
2019,7,7.343,Western Europe,Sweden,0.03724489795918388,7.416,7.27,2.246,1.387,1.009,1.487,0.373,0.574,0.267
2019,8,7.307,Australia and New Zealand,New Zealand,0.038520408163265255,7.383,7.232,2.127,1.303,1.026,1.557,0.38,0.585,0.33
2019,9,7.278,North America,Canada,0.040051020408163274,7.357,7.2,2.193,1.365,1.039,1.505,0.308,0.584,0.285
2019,10,7.246,Western Europe,Austria,0.03418367346938762,7.313,7.179,2.378,1.376,1.016,1.475,0.226,0.532,0.244
2019,11,7.228,Australia and New Zealand,Australia,0.04438775510204091,7.315,7.141,2.094,1.372,1.036,1.548,0.29,0.557,0.332
2019,12,7.167,Latin America and Caribbean,Costa Rica,0.044132653061224277,7.254,7.081,2.933,1.034,0.963,1.441,0.093,0.558,0.144
2019,13,7.139,Middle East and Northern Africa,Israel,0.03443877551020425,7.206,7.071,2.665,1.276,1.029,1.455,0.082,0.371,0.261
2019,14,7.09,Western Europe,Luxembourg,0.03163265306122463,7.152,7.028,1.954,1.609,1.012,1.479,0.316,0.526,0.194
2019,15,7.054,Western Europe,United Kingdom,0.03673469387755105,7.126,6.982,2.112,1.333,0.996,1.538,0.278,0.45,0.348
2019,16,7.021,Western Europe,Ireland,0.041071428571428696,7.102,6.941,1.845,1.499,0.999,1.553,0.31,0.516,0.298
2019,17,6.985,Western Europe,Germany,0.03061224489795921,7.045,6.925,2.15,1.373,0.987,1.454,0.265,0.495,0.261
2019,18,6.923,Western Europe,Belgium,0.03316326530612265,6.988,6.858,2.235,1.356,0.986,1.504,0.21,0.473,0.16
2019,19,6.892,North America,United States,0.04795918367346932,6.986,6.798,2.266,1.433,0.874,1.457,0.128,0.454,0.28
2019,20,6.852,Central and Eastern Europe,Czech Republic,0.03520408163265304,6.921,6.783,2.636,1.269,0.92,1.487,0.036,0.457,0.046
2019,21,6.825,Middle East and Northern Africa,United Arab Emirates,0.03903061224489785,6.901,6.748,2.145,1.503,0.825,1.31,0.182,0.598,0.262
2019,22,6.726,Western Europe,Malta,0.04285714285714267,6.81,6.642,1.816,1.3,0.999,1.52,0.151,0.564,0.375
2019,23,6.595,Latin America and Caribbean,Mexico,0.04719387755102054,6.687,6.502,2.761,1.07,0.861,1.323,0.073,0.433,0.074
2019,24,6.592,Western Europe,France,0.03801020408163266,6.667,6.518,2.021,1.324,1.045,1.472,0.183,0.436,0.111
2019,25,6.446,Eastern Asia,Taiwan Province of China,0.041581632653061064,6.528,6.365,2.045,1.368,0.914,1.43,0.097,0.351,0.242
2019,26,6.444,Latin America and Caribbean,Chile,0.0459183673469387,6.534,6.354,2.397,1.159,0.92,1.369,0.056,0.357,0.187
2019,27,6.436,Latin America and Caribbean,Guatemala,0.05765306122448979,6.549,6.323,2.833,0.8,0.746,1.269,0.078,0.535,0.175
