Happiness Rank,Country,Region,Happiness Score,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year,Standard Error
1,Finland,Western Europe,7.82,7.886,7.756,2.518,1892.0,1.258,0.775,0.736,0.109,0.534,2022,0.03316326530612242
2,Denmark,Western Europe,7.64,7.71,7.563,2.226,1953.0,1.243,0.777,0.719,0.188,0.532,2022,0.03750000000000006
3,Iceland,Western Europe,7.56,7.651,7.464,2.32,1936.0,1.32,0.803,0.718,0.27,0.191,2022,0.047704081632652905
4,Switzerland,Western Europe,7.51,7.586,7.437,2.153,2026.0,1.226,0.822,0.677,0.147,0.461,2022,0.03801020408163266
5,Netherlands,Western Europe,7.42,7.471,7.359,2.137,1945.0,1.206,0.787,0.651,0.271,0.419,2022,0.0285714285714286
6,Luxembourg*,Western Europe,7.4,7.501,7.307,2.042,2209.0,1.155,0.79,0.7,0.12,0.388,2022,0.04948979591836734
7,Sweden,Western Europe,7.38,7.454,7.315,2.003,1920.0,1.204,0.803,0.724,0.218,0.512,2022,0.03545918367346922
8,Norway,Western Europe,7.37,7.44,7.29,1.925,1997.0,1.239,0.786,0.728,0.217,0.474,2022,0.03826530612244907
9,Israel,Middle East and North Africa,7.36,7.426,7.301,2.634,1826.0,1.221,0.818,0.568,0.155,0.143,2022,0.03188775510204082
10,New Zealand,North America and ANZ,7.2,7.279,7.12,1.954,1852.0,1.235,0.752,0.68,0.245,0.483,2022,0.04056122448979587
11,Austria,Western Europe,7.16,7.237,7.089,2.148,1931.0,1.165,0.774,0.623,0.193,0.329,2022,0.037755102040816245
12,Australia,North America and ANZ,7.16,7.244,7.081,2.011,1900.0,1.203,0.772,0.676,0.258,0.341,2022,0.041581632653061064
13,Ireland,Western Europe,7.04,7.121,6.961,1.743,2129.0,1.166,0.779,0.627,0.19,0.408,2022,0.04081632653061228
14,Germany,Western Europe,7.034,7.122,6.947,2.142,1924.0,1.088,0.776,0.585,0.163,0.358,2022,0.044642857142857095
15,Canada,North America and ANZ,7.025,7.107,6.943,1.924,1886.0,1.188,0.783,0.659,0.217,0.368,2022,0.0418367346938777
16,United States,North America and ANZ,6.977,7.065,6.888,2.214,1982.0,1.182,0.628,0.574,0.22,0.177,2022,0.04515306122448992
17,United Kingdom,Western Europe,6.943,7.018,6.867,1.967,1867.0,1.143,0.75,0.597,0.289,0.329,2022,0.038520408163265255
18,Czechia,Central and Eastern Europe,6.92,7.029,6.811,2.263,1815.0,1.26,0.715,0.66,0.158,0.048,2022,0.05561224489795918
19,Belgium,Western Europe,6.805,6.89,6.72,2.283,1907.0,1.106,0.764,0.492,0.049,0.204,2022,0.043367346938775496
20,France,Western Europe,6.687,6.758,6.615,1.895,1863.0,1.219,0.808,0.567,0.07,0.266,2022,0.03647959183673464
21,Bahrain,Middle East and North Africa,6.647,6.779,6.514,2.092,1854.0,1.029,0.625,0.693,0.199,0.155,2022,0.06760204081632645
22,Slovenia,Central and Eastern Europe,6.63,6.718,6.542,1.885,1810.0,1.249,0.769,0.685,0.118,0.115,2022,0.04489795918367351
23,Costa Rica,Latin America and Caribbean,6.582,6.683,6.481,2.346,1584.0,1.054,0.744,0.661,0.089,0.102,2022,0.05153061224489795
24,United Arab Emirates,Middle East and North Africa,6.576,6.66,6.492,1.809,1998.0,1.092,0.633,0.702,0.204,0.25,2022,0.0428571428571429
25,Saudi Arabia,Middle East and North Africa,6.523,6.637,6.409,2.075,1870.0,1.095,0.577,0.651,0.078,0.18,2022,0.05816326530612239
26,Taiwan Province of China,East Asia,6.512,6.596,6.429,2.002,1897.0,1.127,0.733,0.542,0.075,0.168,2022,0.042602040816326486
27,Singapore,Southeast Asia,6.48,6.569,6.392,0.932,2149.0,1.006,0.851,0.672,0.163,0.587,2022,0.04515306122448969
28,Romania,Central and Eastern Europe,6.477,6.575,6.379,2.446,1719.0,1.211,0.655,0.605,0.039,0.006,2022,0.050000000000000155
29,Spain,Western Europe,6.476,6.56,6.392,1.893,1808.0,1.18,0.808,0.505,0.101,0.149,2022,0.04285714285714267
30,Uruguay,Latin America and Caribbean,6.474,6.562,6.386,1.974,1615.0,1.052,0.672,0.665,0.103,0.265,2022,0.04489795918367351
31,Italy,Western Europe,6.467,6.57,6.363,2.222,1834.0,1.169,0.801,0.412,0.085,0.059,2022,0.05280612244897955
32,Kosovo,Central and Eastern Europe,6.455,6.571,6.339,2.631,1362.0,1.204,0.569,0.599,0.309,0.035,2022,0.059183673469387583
33,Malta,Western Europe,6.447,6.535,6.359,1.631,1838.0,1.232,0.789,0.679,0.174,0.166,2022,0.04489795918367351
34,Lithuania,Central and Eastern Europe,6.446,6.535,6.356,2.153,1804.0,1.232,0.659,0.496,0.053,0.077,2022,0.04566326530612252
